一个	yige
例行公事	lxgs
怒不可遏	nbkv
花天酒地	htjd
本末倒置	bmdze
植物纤维	zwxw
举世无双	jswso
年轻有为	nqyw
纯属虚构	csxg
移花接木	yhjm
宁静致远	njzy
隐约可见	yykj
东窗事发	dcsfe
不论什么	blsm
先知先觉	xzxj
墨西哥人	mxgr
言听计从	ytjc
良辰美景	lcmj
杀人放火	srfh
传宗接代	czjd
世说新语	ssxy
通信卫星	txwx
当头一棒	dtyb
百年好合	bnhh
形单影只	xdyze
大吵大闹	dcdne
喜怒无常	xnwc
社会民主	shmz
藕断丝连	vdsl
如期举行	rqjx
旗鼓相当	qgxd
搞好关系	ghgx
文质彬彬	wzbb
风流才子	flcz
循循善诱	xxsy
安分守己	vfsj
打破常规	dpcg
零零碎碎	llssee
齐人之福	qrzfo
九牛二虎之力	jnvl
天不怕地不怕	tbppe
神不知鬼不觉	sbzj
驻点	zudma
三棱	sjlg
霜期	slqi
东端	dsdr
丝状	sizla
随喜	svxia
乘除	cgcuu
闻人	wfrfou
买去	mdqu
漏雨	lzyuo
二进	vrjbe
五亿	wuyieu
漏出	lzcuo
铜绿	tslv
铁粉	tpff
波谱	bopu
六折	lqzeoe
泾渭	jkwwoo
内圈	nwqr
运钞	yycce
军售	jysz
准会	zyhv
划到	hxdce
车轴	cezze
前体	qmtio
割下	gexxo
加锁	jxsoa
赶制	gjzieu
港岛	ghdco
即期	jiqia
厉行	lixke
压线	yaxm
原种	yrzse
及物	jiwuu
反身	fjsfu
调往	dnwho
古币	gubi
只懂	zidsi
诗行	sihh
向心	xlxb
言外	yjwdo
吸出	xicui
觐见	jbjm
规约	gvyt
咖哩	kali
西宫	xigse
虾子	xxzii
落子	lcziea
萧红	xnhse
萋萋	qiqiee
苦行	kuxke
太浅	tdqme
航船	hhcr
自好	zihcua
委办	wwbju
子房	zifha
背信	bwxbi
定标	dkbn
耄耋	mcdp
美商	mwsh
并起	bkqioe
废油	fwyz
纤尘	xmcf
红棉	hsmm
心诚	xbcgo
念出	nmcuu
成田	cgtme
祈望	qiwhoo
拌面	bjmme
短号	drhc
搓澡	cozc
收走	szzza
病句	bkjuo
畏寒	wwhj
昭然	zcrj
曲直	quzii
有孕	yzyyea
朵颐	doyiue
梁园	llyroi
残照	cjzce
近卫军	jwju
赞成票	zcpue
撒拉族	slze
植根于	zgyee
内酰胺	nxvi
仁波切	rbqu
站不起来	zbql
恐怖活动	kbhd
布里斯班	blsb
行政单位	xzdw
何年何月	hnhy
一九九八	yjjbeu
芝加哥大学	zjgxe
小学	xnxtio
当儿	dhvr
老太太	ltte
比例尺	blceu
商品生产	spsco
账面	zhmm
离岗	ligho
发傻	fasa
多产	docj
拘役	juyi
草料	ccln
侨眷	qnjr
黑哨	hwsc
郊野	jnyeo
纤巧	xmqn
从宽	cskr
假酒	jxjq
抬出	tdcu
敲锣	qnlo
禀告	bkgc
裤带	kudd
快吃	kkci
驼铃	tolk
撞坏	zlhk
干酪	gjlc
遗骸	yihd
此君	cijy
双亡	slwh
管乐	gryt
骄横	jnhg
撩开	lnkd
压境	yajk
血块	xtkk
尊卑	zybwo
碍眼	vdyj
等边	dgbm
炸裂	zalp
怀表	hkbn
跳票	tnpn
珠算	zusr
篡位	crwwu
渴盼	kepjo
贤弟	xmdii
鬓角	bbjn
做鬼	zogv
沙坑	sakg
捏碎	npsv
枣子	zcziea
晕船	yycr
奇谋	qimz
火攻	hogs
示警	sijke
抢攻	qlgse
组诗	zusia
霜降	sljl
失聪	sicsue
尖刻	jmkei
轻身	qksfe
离席	lixioo
老底	lcdie
中枪	zsqli
娥眉	vemwa
假人	jxrfuu
敞亮	chllio
围捕	wwbuie
钟摆	zsbd
滑腻	hxni
泄了	xpleoa
枕巾	zfjbe
位次	wwciu
企求	qiqque
租下	zuxxu
喂饱	wwbci
歪理	wdlie
追诉	zvsuu
没生	mwsgo
旅伴	lvbjo
甜酒	tmjq
批件	pijme
止息	zixii
见机	jmjii
忌口	jikza
客满	kemj
诱奸	yzjmo
积案	jivju
酒具	jqjuo
得数	desu
豪饮	hcyb
笔锋	bifgu
淡红色	dhsoa
养不起	ybqo
校验码	jyme
软饮料	ryle
十字路	szleoi
过渡性	gdxe
朔州市	szsoou
交通网	jtwo
拦路虎	llhei
贴上来	tslii
法律界	fljo
发掘出	fjcaei
洋快餐	ykco
策略性	clxu
行政权	xzquei
氯化物	lhwu
危险期	wxqu
三伏天	sfte
热水袋	rsde
华容道	hrduo
开普敦	kpde
韩非子	hfze
火箭筒	hjto
茶花女	chne
小舅子	xjzi
贤内助	xnziia
小麻烦	xmfio
柠檬茶	nmce
拜占庭	bztu
炊事班	csboe
正方体	zfte
防御战	fyzau
灵隐寺	lysaai
吉首市	jsseou
东北军	dbjei
松口气	skqei
处女地	cndu
被压迫	bypo
冷板凳	lbdoe
表彰会	bzheo
跻身于	jsyiui
赤壁市	cbse
宜州市	yzsoou
怨声载道	yszdu
各抒己见	gsjj
市场调节	sctjo
无照经营	wzjy
以次充好	yccha
立足之地	lzzdo
如数家珍	rsjz
分工合作	fghzu
辅助材料	fzcl
团结一心	tjyx
站不住脚	zbzjo
首要条件	sytj
为时过早	wsgz
来者不拒	lzbje
欢歌笑语	hgxy
走马上任	zmsr
千真万确	qzwq
任课老师	rkls
万般无奈	wbwn
抑扬顿挫	yydcee
守口如瓶	skrp
原形毕露	yxbl
长途旅行	ctlx
改朝换代	gchd
日月星辰	ryxc
大义凛然	dylr
惊为天人	jwtr
反客为主	fkwz
三角函数	sjhse
触景生情	cjsq
铁石心肠	tsxc
大智若愚	dzry
大江东去	djdq
贪小便宜	txpy
无神论者	wslz
跳来跳去	tltq
打预防针	dyfz
夜以继日	yyjr
人才济济	rcjj
出土文物	ctww
非你莫属	fnms
动荡不安	ddbv
平步青云	pbqy
多米尼克	dmnk
青出于蓝	qcyl
浮光掠影	fgly
地动山摇	ddsy
逼上梁山	bsls
一览无遗	ylwye
万念俱灰	wnjhe
自讨苦吃	ztkc
好聚好散	hjhsa
魏王	wwwhu
餐盒	cjhei
两封	llfge
丧尽	shjbe
闸口	zakz
买烟	mdyj
乳粉	ruff
二倍	vrbwe
云涛	yytc
亚种	yazs
人堆	rfdv
钢索	ghsou
郊县	jnxm
遇过	yugoi
光武	glwui
几届	jijpua
软语	rryu
勾手	gzsz
口外	kzwd
合编	hebmu
议院	yiyroa
涡旋	woxro
融雪	rsxte
淬炼	cvlmo
茶会	cahv
天呀	tmyae
胚子	pwziu
宋国	ssgoo
履新	lvxba
山壁	sjbii
美制	mwzio
常到	chdcie
年尾	nmww
终南	zsnja
强酸	qlsr
当值	dhzi
红皮	hspi
徽县	hvxm
念过	nmgou
怎敢	zfgju
战团	zjtr
扎带	zadd
矿脉	klmd
睥睨	pini
撞进	zljbe
电晕	dmyy
环烷	hrwje
木石	musiee
术科	suke
犬马	qrmae
格杀	gesa
款型	krxk
死期	siqieei
马尾辫	myba
霍去病	hqbe
汉尼拔	hnbo
发过去	fgqa
执政官	zzgee
李先念	lxne
时间轴	sjzioi
干女儿	gnve
吉之岛	jzde
不插电	bcdee
月经来潮	yjlc
数字通信	sztx
恩恩怨怨	vvyy
组织关系	zzgx
维持生活	wcsh
嫦娥奔月	cvby
自说自话	zszhu
坚忍不拔	jrbbi
国共两党	ggld
记名投票	jmtpo
刀枪不入	dqbr
民族工业	mzgy
欧亚大陆	vydl
马萨诸塞	mszsa
牵着鼻子走	qzbz
婚前性行为	hqxw
在一定范围内	zydn
先付	xmfuu
附言	fuyja
播发	bofae
聘书	pbsu
定出	dkcu
黑钱	hwqm
荣立	rsli
骤增	zzzga
架次	jxcia
猪狗	zugzu
辞呈	cicgu
磕碰	kepg
败落	bdlo
宽了	krle
笑纳	xnna
麦苗	mdmn
理当	lidh
唇舌	cyseeu
盛怒	sgnu
酒糟	jqzc
撒腿	satv
中波	zsbo
跟斗	gfdz
外间	wdjm
乱走	lrzzu
缝补	fgbu
纤弱	xmro
零工	lkgs
白字	bdziuo
头面	tzmm
估测	guce
很暗	hfvj
抢掠	qllt
捎带	scdd
赌债	duzdi
吞掉	tydn
凶犯	xsfj
斜率	xplv
戎装	rszl
脑瓜	ncgx
锁孔	soks
玉盘	yupj
停刊	tkkj
口信	kzxb
银团	ybtr
崩裂	bglp
寒碜	hjcf
陪嫁	pwjx
灼痛	zotso
鸡窝	jiwo
驾崩	jxbg
枪托	qltoe
右方	yzfheo
俗事	susiue
军威	jywwoe
倏忽	suhuu
督战	duzj
姨父	yifuauo
命大	mkdau
油彩	yzcdou
补遗	buyioi
小住	xnzuiui
倒茶	dccau
生疑	sgyiuu
国号	gohci
手痒	szyhu
平叛	pkpjeo
弓弦	gsxma
洋货	yhhoo
正北	zgbwe
本相	bfxlee
倾巢	qkccu
凡俗	fjsuuu
捐躯	jrqu
盥洗	grxiu
缆绳	ljsga
醉拳	zvqr
立誓	lisioei
话锋	hxfgo
清福	qkfuoo
借方	jpfhuo
白蜡	bdla
找得	zcdee
创编	clbmu
细目	ximu
垫板	dmbje
流泻	lqxp
查字典	czde
有节制	yjzeei
勾画出	ghcue
拿出去	ncqu
功夫片	gfpe
黄皮肤	hpfe
喷水池	psci
芝麻官	zmge
德智体	dztuu
感召力	gzlea
优先股	yxgu
解说词	jscuo
一年生	ynseu
爆炸物	bzwo
贪污罪	twzu
地方官	dfgeo
超小型	cxxei
管不着	gbzue
打水漂	dspe
不对头	bdtea
有志气	yzqe
螺旋式	lxsio
贝鲁特	blti
防空洞	fkda
馊主意	szyuo
闯江湖	cjhoo
插班生	cbsee
死刑犯	sxfe
消火栓	xhsoo
密苏里	msloe
小妇人	xfri
麻醉剂	mzjo
冬令营	dlyuu
肉包子	rbzi
手指甲	szjue
瑞昌市	rcsei
韶山市	ssso
鸭舌帽	ysmi
私生女	ssnu
轴对称	zdcea
外祖母	wzmu
八卦阵	bgzu
歌舞剧	gwje
警报器	jbqeei
小算盘	xspiu
清平乐	qplo
近似于	jsyuu
左上方	zsfe
港务局	gwjou
干巴巴	gbbe
深褐色	shsooa
鲜红色	xhsu
出血热	cxra
都匀市	dyseua
趁热打铁	crdt
操之过急	czgj
候补委员	hbwy
拳头产品	qtcp
好事多磨	hsdma
远大理想	ydlx
如此而已	rcvy
画蛇添足	hstze
抢先一步	qxyb
情报部门	qbbm
入不敷出	rbfc
看了又看	klyk
万事大吉	wsdj
与人为善	yrws
亲自出马	qzcm
口无遮拦	kwzl
胡作非为	hzfwe
相映成趣	xycq
逍遥法外	xyfw
不偏不倚	bpby
温室效应	wsxy
顶头上司	dtss
蛮不讲理	mbjloe
诺亚方舟	nyfz
盛气凌人	sqlr
魂不守舍	hbss
捕风捉影	bfzyeu
放手一搏	fsyb
毫无准备	hwzb
三点一线	sdyx
善男信女	snxn
永不分离	ybfl
地心引力	dxyle
海角天涯	hjty
二连浩特	vlht
稀土元素	xtys
人情冷暖	rqln
繁荣富强	frfq
代课老师	dkls
异国情调	ygqd
身怀绝技	shjju
寄人篱下	jrlx
微服私访	wfsfu
破破烂烂	pplle
近水楼台	jslt
悲惨世界	bcsji
中央处理器	zycq
心有余而力不足	xyyzo
黄衣	hlyie
高差	gcca
骨粉	guffi
上唇	shcyi
不瞒	bumjei
雪莱	xtlde
专才	zrcd
东郭	dsgoe
难喝	njhe
隆尧	lsyc
除霜	cusl
丰登	fgdg
闽北	mbbw
闻道	wfdcoo
闯王	clwh
没药	moyc
铁笼	tpls
钻杆	zrgj
仙气	xmqiuu
油松	yzsso
邮市	yzsii
侍中	sizsuia
做派	zopdu
送送	sssso
全当	qrdhu
违宪	wwxme
几起	jiqiuei
分片	ffpm
切肤	qpfu
转用	zryse
割伤	gesh
跟腱	gfjm
活物	howuo
赤芍	cisc
赞道	zjdcu
单门	djmf
即今	jijba
县府	xmfui
渡海	duhdo
谋事	mzsioe
测谎	cehl
浣纱	hrsa
吴用	wuysi
吸热	xire
固结	gujpi
茅塞	mcse
花卷	hxjre
女校	nvxn
妄念	whnmou
妆扮	zlbjo
寒武	hjwu
聊上	lnshe
聂耳	npvr
射在	sezdu
屋主	wuzua
布控	buks
年方	nmfh
张骞	zhjma
归乡	gvxl
徒留	tulq
德治	deziuo
意即	yijioa
突触	tucuo
慧能	hvng
空当	ksdhoi
所系	soxi
离身	lisfo
手轮	szlyu
禅心	cjxb
改由	gdyza
白铁	bdtp
既成	jicgaeu
既而	jivra
病源	bkyroo
瓦楞	walg
有轨	yzgve
未嫁	wwjxe
本台	bftd
查寻	caxye
树阴	suybe
桥涵	qnhj
梵语	fjyue
炸成	zacg
骨骼肌	ggjii
马蹄莲	mtla
艾略特	vltei
猜猜看	cckuu
筹备组	cbzuu
混合器	hhqo
摄政王	szwe
沙漠化	smhoo
尿不湿	nbsae
植树节	zsjee
归纳出	gnci
文艺学	wyxoe
不连续	blxee
一束花	ysheei
斗转星移	dzxyo
席卷而来	xjvl
安全座椅	vqzy
地利人和	dlrh
远古时代	ygsd
热敏电阻	rmdz
三分钟热度	sfzde
反帝	fjdi
原故	yrguee
木块	mukk
木条	mutn
铁木真	tmzuei
联邦德国	lbdg
菜单	cddje
怪笑	gkxn
逐条	zutn
千吨	qmdy
黏合	nmhe
公派	gspd
酬谢	czxp
官话	grhx
仇杀	czsau
胶皮	jnpi
临战	lbzj
忽闻	huwf
道学	dcxt
吊起	dnqi
接好	jphc
策应	ceyk
类书	lwsu
飒飒	sasaoo
偏锋	pmfg
皇天	hltm
悍然	hjrj
铁蹄	tpti
反诉	fjsuuo
洞开	dskd
难住	njzua
憾事	hjsioe
准点	zydm
刚劲	ghjk
通婚	tshy
古雅	guya
内城	nwcgi
劝退	qrtv
动粗	dscueo
作序	zoxu
逗人	dzrf
睡熟	svsui
变调	bmdn
莫若	moro
坠子	zvzi
冒领	mclk
俸禄	fgluu
表兄	bnxs
呕血	vzxt
早秋	zcqq
虚词	xuci
年饭	nmfj
苦酒	kujq
仆从	pucs
眷念	jrnm
水战	svzj
海米	hdmi
不丑	bucze
调包	dnbco
吕后	lvhz
撤资	cezieo
二嫂	vrsc
痼疾	gujio
单衣	djyio
义举	yijuoo
迅疾	xyjiao
传阅	crytu
那具	najua
迎击	ykjiu
重刑	zsxkue
稍许	scxuu
封赏	fgshei
差遣	cdqmo
乌发	wufau
连坐	lmzo
胡话	huhxe
平放	pkfheo
遣散	qmsji
渔舟	yuzzo
小楷	xnkd
脉象	mdxlu
半大	bjda
缉捕	jibua
阴狠	ybhfa
透骨	tzguu
强逼	qlbia
代用	ddysu
总集	zsjiou
租船	zucru
五绝	wujt
低糖	dith
微词	wwciuo
锐化	rvhx
正身	zgsfe
乌金	wujbu
复线	fuxmu
昏庸	hyysu
受刑	szxku
仙翁	xmwg
公制	gsziuu
刮胡子	ghzue
要饭的	yfde
苦肉计	krje
两家人	ljre
光化学	ghxi
内政部	nzbi
性冲动	xcdo
沉淀物	cdwo
生物圈	swquu
动脑子	dnzeu
听得出	tdciu
扑倒在	pdzeu
太阳帽	tyme
读出来	dcloa
百分数	bfseuo
外用药	wyyuu
姜太公	jtgo
钟乳石	zrsuuo
白话文	bhwu
御林军	ylju
狄更斯	dgsue
狗男女	gnnu
陈圆圆	cyyai
罚球线	fqxi
现代诗	xdseu
追星族	zxzui
诞生地	dsdo
附属品	fspa
国防军	gfjia
大傻瓜	dsgeu
第二级	dvjuev
雷鸣般	lmbei
津市市	jssoo
水木清华	smqh
以权谋私	yqms
殖民主义	zmzye
据理力争	jllz
领土完整	ltwz
核糖核酸	hths
密西西比	mxxb
惊叹不已	jtby
重重困难	cckn
毫不费力	hbfl
挨家挨户	vjvh
静观其变	jgqb
通宵达旦	txdd
第一书记	dysju
身败名裂	sbml
生死关头	ssgt
大好机会	dhjh
曲径通幽	qjty
扶摇直上	fyzse
隐姓埋名	yxmm
一去不返	yqbfe
起早贪黑	qzth
大不如前	dbrq
冷若冰霜	lrbs
无伤大雅	wsdy
鼻青脸肿	bqlz
乌合之众	whzz
寸步不离	cbbl
一念之差	ynzc
无依无靠	wywk
生不逢时	sbfs
水火不容	shbr
承上启下	csqx
自怨自艾	zyzyuu
两男一女	lnyn
因果报应	ygby
悬而未决	xvwj
外围设备	wwsb
养尊处优	yzcy
装腔作势	zqzs
翻箱倒柜	fxdg
唧唧喳喳	jjccii
滴滴答答	ddddoo
重色轻友	zsqy
鹿死谁手	lssso
工人文化宫	grwg
鄂托克前旗	vtkqi
不费吹灰之力	bfcl
炉膛	luth
马球	maqq
灯座	dgzo
雅观	yagre
东厂	dsch
丝织	siziaa
丝锥	sizva
沙雕	sadno
陈酿	cfnl
举头	jutzo
乱纪	lrji
事权	siqree
锥心	zvxbu
产褥	cjruo
铁炉	tpluu
钱粮	qmllu
滥造	ljzco
邻村	lbcy
低阶	dijpu
佛事	fosiu
遥测	ycceu
侍妾	siqpu
光板	glbji
克敌	kedi
关张	grzho
关连	grlmo
几枚	jimwu
包下	bcxx
赴死	fusiee
双响	slxla
评鉴	pkjm
清退	qktv
清浅	qkqmo
西窗	xicl
喉部	hzbui
蠢货	cyhoeu
地缝	difg
基肥	jifwe
薄饼	bcbke
淡紫	djzioi
淡色	djseou
大分	daffe
草绿	cclv
奉公	fggse
容下	rsxx
对簿	dvbua
就里	jqlio
康巴	khba
建置	jmziai
细粉	xiffao
纳新	naxb
当堂	dhth
恋物	lmwuo
戏服	xifua
成说	cgsoe
移出	yicuua
移入	yiruu
打颤	dazjeo
拒载	juzde
插接	cajp
摩丝	mosioa
撒欢	sahr
敷面	fummee
斋主	zdzuooe
末班	mobje
横断	hgdr
歧化	qihxi
魔术贴	msto
马齿苋	mcxa
苏打水	sdsee
燕尾蝶	ywde
燃烧室	rsso
垃圾筒	ljtee
正蓝旗	zlqee
梁实秋	lsqoo
广播台	gbto
伯尔尼	bvnuu
产业界	cyjo
新泽西州	xzxz
相依相偎	xyxw
年少无知	nswz
自怨自艾	zyzv
外交学院	wjxy
于心不忍	yxbr
附属小学	fsxx
核心人物	hxrw
上合组织	shzzi
三房一厅	sfyte
风带	fgdd
抒情诗	sqseo
半殖民地	bzmd
思想体系	sxtx
新民主主义革命	xmzm
张榜	zhbh
封禁	fgjb
料及	lnji
坑害	kghd
订户	dkhu
主从	zucso
后心	hzxb
党部	dhbu
奔马	bfma
主笔	zubi
丰美	fgmw
猝然	curj
农舍	nsse
工棚	gspg
投去	tzqu
终局	zsjua
缸内	ghnw
拖进	tojb
引开	ybkd
顽抗	wjkh
惶惑	hlho
亲耳	qbvr
练笔	lmbi
皮厚	pihz
械斗	xpdz
撷取	xpqu
警棍	jkgy
互爱	huvd
赶跑	gjpc
主政	zuzg
暂居	zjjue
裤管	kugr
篮坛	ljtj
疾走	jizzo
祸患	hohr
彩笔	cdbi
驱邪	quxp
黑纱	hwsa
卷成	jrcgo
苏绣	suxq
毒酒	dujq
螺帽	lomc
羸弱	lwro
苛责	kezee
脱臼	tojq
面饼	mmbk
使君	sijy
天穹	tmqs
早朝	zcccie
冠词	grci
浮标	fubno
批语	piyue
王法	whfae
白道	bddcuo
权术	qrsuee
嘶鸣	simkii
朱唇	zucyu
伤处	shcu
家风	jxfgo
搞鬼	gcgve
指证	zizgeo
砸下	zaxx
浅见	qmjm
家道	jxdco
娇贵	jngv
人样	rfyhu
壮丁	zldko
堵上	dush
欺瞒	qimje
贞节	zfjpi
相陪	xlpwe
瘦高	szgco
公海	gshdu
高跷	gcqno
喂鱼	wwyui
流寇	lqkz
论理	lylio
装疯	zlfg
偷腥	tzxku
停转	tkzr
市斤	sijbo
退婚	tvhy
生趣	sgquu
底本	dibf
鸡胸	jixsa
涕零	tilk
绍酒	scjqa
语料	yulnoo
拓片	tapm
万维网	wwwe
看不完	kbwu
阿房宫	vpga
阿托品	vtpa
试验田	syto
养鸡场	yjco
特许权	txqu
十一人	syree
伸缩性	ssxua
乱哄哄	lhhui
莱比锡	lbxee
财神爷	csyio
文史哲	wszo
开过来	kgle
灵宝市	lbsao
上半天	sbti
吹口哨	cksi
够不着	gbzueu
哮喘病	xcbi
热辣辣	rlle
实打实	sdsoe
杜鲁门	dlme
血泪史	xlsuoo
氧化钙	yhgu
苹果酸	pgsei
预言家	yyja
敌敌畏	ddwu
文昌市	wcsoi
生闷气	smqu
芝麻酱	zmje
向右转	xyzue
假小子	jxzui
英德市	ydseu
水泥板	snbi
制图员	ztyui
相思豆	xsdei
爆发性	bfxo
第二人	dvru
形象化	xxheu
传下来	cxlue
气死人	qsru
界首市	jssi
克格勃	kgbe
白纸黑字	bzhz
从一而终	cyvz
吹毛求疵	cmqc
内幕消息	nmxxi
两地分居	ldfje
一路平安	ylpv
一步登天	ybdt
引以为戒	yywja
励精图治	ljtz
名存实亡	mcsw
河西走廊	hxzlo
快马加鞭	kmjb
蒙混过关	mhgg
双边贸易	sbmy
划清界限	hqjx
绵薄之力	mbzl
交头接耳	jtjv
矢口否认	skfr
咬文嚼字	ywjz
言下之意	yxzyo
满满当当	mmddoo
满目疮痍	mmcyo
排列组合	plzh
国防大学	gfdx
金枝玉叶	jzyy
酒足饭饱	jzfb
知难而退	znvt
思绪万千	sxwq
入乡随俗	rxss
十之八九	szbje
同流合污	tlhw
恍如隔世	hrgso
欲盖弥彰	ygmz
新官上任	xgsr
人本主义	rbzy
战斗英雄	zdyxi
年轻貌美	nqmmu
爱屋及乌	vwjw
不惑之年	bhzn
全然不知	qrbz
扭转乾坤	nzqk
心乱如麻	xlrm
耸了耸肩	slsj
公费医疗	gfyl
暗淡无光	vdwg
招摇过市	zygs
暴露无遗	blwyi
假戏真做	jxzzu
不治之症	bzzze
专业精神	zyjse
合而为一	hvwyu
不知好歹	bzhd
破茧而出	pjvc
二泉映月	vqyy
红极一时	hjysa
光天化日之下	gthx
一力	yiliea
高四	gcsioia
上紧	shjbii
饱腹	bcfuuu
顺和	syhe
灭失	mpsie
沁入	qbruo
两码	llma
陶土	tctu
为鉴	wwjmo
乱流	lrlq
长野	chyeu
漕运	ccyyo
亦应	yiyk
铁水	tpsvu
众院	zsyru
逼急	bijie
保身	bcsf
滚来	gyld
通经	tsjka
倒伏	dcfu
逃去	tcquu
追缉	zvjiu
全对	qrdvu
关子	grzioa
冰袋	bkddo
几章	jizhu
利人	lirfuu
利欲	liyuuu
跑下	pcxxi
化开	hxkdu
千日	qmriu
双频	slpba
受敌	szdiu
古史	gusieia
论争	lyzg
同族	tszuio
讨钱	tcqmo
后庭	hztk
吟游	ybyzi
吵杂	cczai
周代	zzddu
哈桑	hash
消弭	xnmio
商学	shxto
喹啉	kvlb
嗤笑	cixni
蜜柑	migj
地沟	digz
蛋花	djhxa
堪舆	kjyue
药浴	ycyue
大暑	dasuei
船运	cryy
妒嫉	dujia
子贡	zigsae
耗用	hcyse
平成	pkcg
张角	zhjn
粉皮	ffpio
急升	jisguu
恶汉	vehj
悲恸	bwtsio
立升	lisgo
离弦	lixmoa
打紧	dajbe
砖雕	zrdn
砂仁	sarfe
捶胸	cvxs
瞒过	mjgoi
排灌	pdgr
排班	pdbjee
搭接	dajpeei
搭调	dadneo
放马	fhma
盈满	ykmj
施药	siyco
旅美	lvmw
无后	wuhzeu
晏子	yjzii
普度	puduo
景德	jkde
曲酒	qujq
月琴	ytqb
生境	sgjkue
琴房	qbfh
班主	bjzueo
校歌	xngee
欠税	qmsvuu
气宇	qiyuu
运动学	ydxeee
踢毽子	tjziue
英吉利	yjleei
花青素	hqsee
翡冷翠	flci
放射线	fsxoui
大藏经	dzjee
林志炫	lzxee
教练机	jljeaa
亚平宁	ypne
白雪皑皑	bxvv
招人喜欢	zrxh
羽毛球场	ymqc
深情款款	sqkk
今明两天	jmltu
加泰罗尼亚	jtlya
共产党宣言	gcdye
洞房花烛夜	dfhy
国防科工委	gfkw
克里斯托弗	klsf
奥斯卡金像奖	vskj
四化	sihxiu
气态	qitd
夜校	yexno
宜于	yiyuoe
大锅饭	dgfe
社会形态	shxtou
爬行动物	pxdw
电子显微镜	dzxji
淡红	djhs
目下	muxx
说开	sokd
清障	qkzho
专管	zrgr
干等	gjdg
掌故	zhgui
通途	tstu
盖起	gdqio
丧偶	shvz
频度	pbdui
巨擘	jubo
调遣	dnqm
撞开	zlkd
前腿	qmtv
贷方	ddfh
画片	hxpm
交合	jnheo
哈日	hari
耗损	hcsy
编外	bmwd
穷鬼	qsgv
疆场	jlch
方桌	fhzo
飞散	fwsj
宗庙	zsmno
钢盔	ghkv
冲力	csli
欢悦	hryta
合葬	hezhu
画刊	hxkj
生风	sgfg
虚汗	xuhj
凶案	xsvju
挡路	dhlue
写本	xpbf
轮空	lyks
床榻	clta
呼哧	huci
孔融	ksrs
光溜	gllq
正数	zgsueou
蛆虫	qucsi
截击	jpjieee
围歼	wwjmi
割开	gekdo
额角	vejno
烙饼	lcbko
抄家	ccjxe
天险	tmxmea
簸箕	bojiu
猴儿	hzvr
童贞	tszfo
疆界	jljpai
各半	gebjuo
国父	gofui
毁谤	hvbh
离境	lijko
武师	wusieiu
调令	dnlko
糖纸	thzio
乘积	cgjiuu
耻骨	ciguei
荣归	rsgv
褒义	bcyio
善类	sjlwo
结伙	jphoa
输光	sugle
锤头	cvtzu
言欢	yjhr
育林	yulbo
麂皮	jipio
继之	jizia
交尾	jnwwo
提箱	tixl
旁骛	phwu
光荣榜	grbie
排名榜	pmbe
部长级	bzjou
广角镜	gjjou
百花奖	bhje
莱茵河	lyhee
决议案	jyvoo
观光客	ggka
说瞎话	sxho
九点钟	jdzuie
第八个	dbguu
走着瞧	zzqeo
假想敌	jxdue
精密度	jmdo
异教徒	yjtae
眼角膜	yjmiu
化学式	hxsuo
肺水肿	fszu
祖师爷	zsyoi
甘氨酸	gvse
白杨树	bysue
梁漱溟	lsmo
水果店	sgdiia
印刷术	yssua
拿主意	nzyuo
公开化	gkhu
走钢丝	zgseu
终身制	zsza
聋哑人	lyre
绝缘体	jyta
总商会	zshoo
营业所	yyseii
皱巴巴	zbbu
老夫老妻	lflq
驰名中外	cmzwa
互帮互助	hbhz
老弱病残	lrbc
见缝插针	jfcz
性能优越	xnyy
一般来讲	yblj
秩序井然	zxjr
铜墙铁壁	tqtb
举棋不定	jqbdo
一家之言	yjzy
少儿不宜	svby
课外读物	kwdw
好吃懒做	hclza
醉翁之意	zwzy
商务部长	swbz
掷地有声	zdysee
新生力量	xsll
肝胆相照	gdxz
平板玻璃	pbbl
麦克阿瑟	mkvs
短兵相接	dbxj
矢志不渝	szby
爵士音乐	jsyy
异乎寻常	yhxc
又惊又喜	yjyx
振振有词	zzyc
苦中作乐	kzzl
春风化雨	cfhy
前途无量	qtwl
天寒地冻	thdde
另一回事	lyhs
有法可依	yfky
失血过多	sxgd
忧国忧民	ygym
老谋深算	lmss
太平盛世	tpss
披荆斩棘	pjzj
金蝉脱壳	jctq
孤立无援	glwy
一年半载	ynbz
怒发冲冠	nfcg
两肋插刀	llcde
见过世面	jgsm
年过半百	ngbb
孝顺父母	xsfm
从头至尾	ctzw
自由恋爱	zylv
引咎辞职	yjcz
死而复生	svfs
三十而立	ssvl
有妇之夫	yfzf
北斗七星	bdqx
素未谋面	swmm
初战告捷	czgjo
不堪忍受	bkrs
笑容可掬	xrkjuo
见好就收	jhjsi
意气用事	yqys
机关算尽	jgsje
百依百顺	bybse
一声不响	ysbx
有始有终	ysyze
骨髓移植	gsyzi
驾驶执照	jszza
引蛇出洞	yscd
塔吉克斯坦	tjkt
多米诺骨牌	dmnp
上气不接下气	sqbq
汝等	rudg
靡靡	mimioo
陈留	cflq
主审	zusfo
买成	mdcg
铺展	puzj
银质	ybziuu
铜铃	tslkuu
代换	ddhr
位处	wwcu
遛弯	lqwju
先王	xmwh
迷思	misioi
泛酸	fjsr
入籍	rujiu
全脂	qrziuu
溜出	lqcuo
